               event          N_had     N_lep
 0        *    120639 *         1 *         1 * tau-> pions w_had
*        1 *    122053 *         1 *         1 * OK
*        2 *    122059 *         1 *         1 * Ok
*        3 *    122078 *         1 *         1 * Ok
*        4 *    122107 *         1 *         1 * Ok
*        5 *    122712 *         1 *         1 * ele  tau->pi
*        6 *    120684 *         1 *         2 * tau->mu tau->pions
*        7 *    120701 *         1 *         1 * ele tau->pi
*        8 *    120743 *         1 *         1 * had tau->mu
*        9 *    120765 *         1 *         1 * had tau->pi
*       10 *    142392 *         1 *         2 *
*       11 *    142420 *         1 *         1 *
*       12 *    151453 *         1 *         1 *
*       13 *    151480 *         1 *         1 *
*       14 *    151481 *         1 *         1 *
*       15 *    120823 *         1 *         1 *
*       16 *    120827 *         1 *         1 *
*       17 *    120841 *         1 *         1 *
*       18 *    120860 *         1 *         1 *
*       19 *    121114 *         1 *         1 *
*       20 *    121129 *         1 *         1 *
*       21 *    121142 *         1 *         1 *
*       22 *    121147 *         1 *         1 *
*       23 *    153123 *         1 *         1 *
*       24 *    153176 *         1 *         1 *
